,Unnamed: 0,"Реальные денежные доходы населения, в процентах к предыдущему периоду 1)","Доля расходов консолидированных бюджетов субъектов Российской Федерации на социальную поддержку отдельных категорий граждан к собственным доходам консолидированных бюджетов субъектов Российской Федерации*, %","Коэффициент материнской смертности (3.1.1), на 100 тысяч родившихся живыми",Смертность детей в возрасте 0 - 4 года на 1000 родившихся живыми 1) 2),Младенческая смертность (на 1 тыс. родившихся живыми) (промилле) 1),Заболеваемость туберкулезом на 100 000 человек (3.3.2)1),"Смертность от туберкулеза1)2) , на 100 000 населения",Заболеваемость малярией на 1000 человек (3.3.3)1),Заболеваемость гепатитом B на 100 000 человек (3.3.4) 1),Заболеваемость с первые в жизни установленным диагнозом психического расстройства и расстройствами поведения на 100 тыс. населения 1),Заболеваемость с впервые в жизни установленным диагнозом наркомании на 100 тыс. населения1),Заболеваемость с впервые в жизни установленным диагнозом алкоголизма и алкогольного психоза на 100 тыс. населения 1),"Смертность от неумышленного отравления (3.9.3)1)2) , на 100 тыс. населения","Санитарное состояние почвы, число проб, не соответствующих гигиеническим нормативам по санитарно-химическим показателям в процентах от общего числа исследованных проб по санитарно-химическим показателям","Ожидаемая продолжительность жизни при рождении, лет 1)2)",Доля нормативно очищенной сточной воды  (6.3.1),"Потребление электроэнергии по субъектам Российской Федерации
(млн.кВт.час)","Потребление электрической энергии на душу населения, кВт.ч 1)",Индекс физического объема валового регионального продукта на душу населения 1),"Грузооборот по видам транспорта, млрд. тонно-км","Пассажирооборот по видам транспорта общего пользования, млрд. пассажиро-км","Доля автомобильных дорог местного значения, соответствующих нормативным требованиям, %",Коэффициент Джини (индекс концентрации доходов) 1),"Доля оплаты труда наемных работников (заработная плата и фактические отчисления на социальное страхование) в валовом внутреннем продукте (10.4.1), %","Ассигновано средств на проведение работ по сохранению объектов культурного наследия, тысяч рублей","Фактически освоено средств на проведение работ по сохранению объектов культурного наследия, тысяч рублей","Площадь лесных земель, пройденная пожарами, га","Валовой региональный продукт на душу населения, рублей 1)"
0,2010,106.5,9.236597255300037,21.5,9.6,7.6,70.6,26.1,0.0,6.425235146082978,243.3,10.7,71.8,3.2,1.46,69.7,12.66686059665794,16708.1,3903.7625943370554,106.6,4028.7188,4414064.4,50.2,0.397,43.0,963116.2,963116.2,1897.0,154127.9
1,2011,100.5,10.31064866565826,15.1,9.8,7.6,65.4,23.8,0.0002342123322161,7.076024857934742,214.7,17.6,63.6,3.3,1.42,69.7,14.037012654524176,17320.5,4058.287700392672,107.1,4022.7962,4287625.600000001,53.4,0.392,44.6,988212.6,988212.6,2330.0,179470.3
2,2012,106.4,9.047841063177472,16.0,10.8,9.1,59.6,20.8,0.0016421424422505,6.7878170662162125,204.4,12.8,56.2,2.8,2.71,71.02,13.082794663732637,17582.0,4129.529399938181,102.7,4870.2868,4234356.199999999,53.0,0.398,46.7,846412.0,846412.0,108.0,198129.2
3,2013,108.1,9.430277432709303,14.1,11.2,9.5,52.5,20.0,0.0004696406661852,6.846942828262674,214.5,12.3,50.2,3.1,2.78,71.39,14.05806592447064,17337.3,4079.2955978157543,103.1,5859.029465,3666609.9,50.5,0.395,45.4,701144.3,701144.3,10.0,215923.2
4,2014,103.2,10.658345270818938,7.8,9.8,7.9,46.5,17.5,0.0002349772577261,5.655300925631379,202.1,11.3,45.6,2.6,2.47,71.3,5.630403458213256,17942.4,4227.902972002019,103.3,6320.547799999999,3478790.2,52.7,0.396,41.6,1043274.1,1043274.1,324.0,237465.8
5,2015,97.7,10.828270638607728,7.8,8.1,6.6,45.6,16.7,0.0009401367899029,5.405786541941852,198.2,10.9,45.3,1.7,1.75,71.9,5.819059298231735,18149.7,4281.559032233714,104.1,5922.6131,3554582.7,54.42455507215895,0.387,38.2,354653.2,354653.2,211.0,280522.0
6,2016,96.7,10.088172823723676,8.2,7.8,6.6,39.8,15.9,0.0002351175305511,5.266632684346251,192.9,9.2,37.0,2.1,1.82,72.2,5.80775112835242,18717.5,4421.096739052899,103.3,5699.424,3577013.3,55.29301303723386,0.39,38.4,282103.1,282103.1,1.3,324802.1
7,2017,100.6,11.44279299523403,4.6,7.7,6.5,40.3,12.7,0.0,5.577785633224586,193.6,9.6,30.5,1.5,2.83,73.03,13.607152835987709,18762.9,4439.974130972718,102.7,5521.047882099999,3457593.6,55.7731935837756,0.395,38.9,238103.3,238103.3,4535.01,341163.4
8,2018,102.3,9.705940225901893,7.3,6.5,5.1,34.8,10.9,0.0016517618754009,4.9,219.8,10.6,29.5,1.3,1.78,73.21,14.954877524709923,19615.8,4657.801493380089,102.5,5995.187472199999,3055360.4,54.20018433179723,0.401,38.5,454566.8,454566.8,86.8,367627.9
9,2019,101.2,9.589925077015712,13.3,5.7,4.8,30.7,10.4,0.0002364054457412,3.8,270.6,8.8,29.7,1.2,3.68,73.69,8.54542161036138,19324.1,4600.898413383964,102.1,6394.7478639,3306763.5,54.5,0.4,36.5,1655487.2,1655487.2,0.0,389521.4
10,2020,98.6,10.14202089842204,2.7,6.5,5.5,25.1,8.7,0.000236797026587,0.9,218.4,7.4,23.0,1.0,1.39,72.04,16.947057005342874,18990.0,4532.594942827008,97.8,6461.353872,2257180.6,54.8,0.391,34.2,1782577.8,1782577.8,2314.29,409240.7
11,2021,103.5,9.25916114627205,27.9,7.8,6.5,24.9,9.7,0.0011892156219169,1.3,241.8,7.8,29.9,1.1,1.55,69.79,17.15206293413675,20190.7,4844.653729642183,106.8,6873.17309,3331619.08,56.11202696266989,0.396,40.54545454545454,1921180.3,1921180.3,47.8,485902.3
12,2022,100.7,10.275538230596256,12.3,6.3,4.9,28.4,8.9,0.0004786481062885,1.7,262.1,7.7,25.2,1.723,1.68,72.0,21.03,20443.9,4892.717010076739,103.7,8510.0,2815266.241,57.5,0.386,40.54545454545454,1309709.3,100560.7,1163.5,556629.3
